Patient ID,KP 20th Percentile,KP 80th Percentile,KI 20th Percentile,KI 80th Percentile,KD 20th Percentile,KD 80th Percentile,KP 50th Percentile,KI 50th Percentile,KD 50th Percentile,KP mean,KI mean,KD mean
child_1,-0.039593806490302086,0.002487026620656252,-0.003706463845446706,-0.00041685171891003847,-0.3102538585662842,-0.04321662429720163,-0.026483614929020405,-0.0020459527149796486,-0.09719059243798256,-0.01052397582679987,-0.0018706773407757282,-0.09210822731256485
child_2,-0.044709183275699615,-0.0027605444192886353,-0.0018520624144002795,0.0002594327670522034,-0.38569486141204834,-0.1314496099948883,-0.03077562525868416,-0.0006878467975184321,-0.2888423800468445,-0.022736497223377228,-0.0008671684190630913,-0.23794680833816528
child_3,-0.04402047675102949,0.008947669994086027,-0.0009402130381204188,0.0006440103752538562,-0.39541929960250854,-0.07977418974041939,-0.013852155301719904,-0.00027653342112898827,-0.29659172892570496,-0.00886679720133543,-0.0002493757347110659,-0.09365583211183548
child_4,-0.04532373696565628,-0.013677003094926476,-0.004640997853130102,-0.0006794369546696544,-0.29907578974962234,-0.015577925369143486,-0.028710187412798405,-0.003239890094846487,-0.08524245023727417,-0.025591492652893066,-0.0026124094147235155,-0.13610991835594177
child_5,-0.042884282767772675,-0.01693941419944167,-0.0036544097820296884,-0.0006168176187202334,-0.30267687886953354,-0.07047870382666588,-0.030510177835822105,-0.0027172144036740065,-0.1263817623257637,-0.025839785113930702,-0.00213347258977592,-0.1552562564611435
child_6,-0.04446091037243605,0.0015387516468763351,-0.0020649187499657273,-0.00016089825658127666,-0.3716726079583168,-0.04647514130920172,-0.03160247951745987,-0.0009678172646090388,-0.26088887453079224,-0.013501124456524849,-0.0010289933998137712,-0.11723600327968597
child_7,-0.04349873214960098,-0.017978576943278313,-0.0033985842019319534,-0.0007447452517226338,-0.298765204846859,-0.07736458070576191,-0.03374999575316906,-0.0024442076683044434,-0.1422462835907936,-0.02820277400314808,-0.001947386539541185,-0.17121313512325287
child_8,-0.05606027878820896,0.022175353951752186,-0.0030456846579909325,0.0008916648512240499,-0.32108599692583084,1.0991563498973846,-0.028508438728749752,-0.0002958417171612382,0.04981019347906113,-0.0007067879196256399,-0.001056001172401011,0.49742811918258667
child_9,-0.039185251109302044,0.0014421967789530754,-0.0035740657476708293,-0.00041658629197627306,-0.317697137594223,-0.054445549845695496,-0.026107612997293472,-0.0019941264763474464,-0.11981411650776863,-0.014429505914449692,-0.001793106785044074,-0.1569400578737259
child_10,-0.044839976355433464,0.00042909756302833557,-0.002771531930193305,-4.718155832961202e-05,-0.3200918212532997,0.005609646439552307,-0.03210964612662792,-0.0008880844106897712,-0.1293782740831375,-0.010897867381572723,-0.001219020108692348,0.03698877617716789
child_mean,-0.04445766350254417,-0.0014335442101582885,-0.0029648932220879944,-0.00012874096573796124,-0.33224334567785263,0.058598367124795915,-0.028240993386134505,-0.00155575149692595,-0.14967662692070008,-0.016129661351442337,-0.0014777611941099167,-0.06260492652654648
